    7 mpi2 | Initialized mpi2 on 2 rank(s)
 2318 evnt | host=rgvm rank=0 task=32 nanotime=1325848665874127000: +wait2
 2418 evnt | host=rgvm rank=0 task=30 nanotime=1325848665974062000: -wait1
 2418 evnt | host=rgvm rank=0 task=30 nanotime=1325848665974134000: +wait2
 2447 evnt | host=rgvm rank=0 task=31 nanotime=1325848666002797000: -wait1
 2447 evnt | host=rgvm rank=0 task=31 nanotime=1325848666002859000: +wait2
 2584 evnt | host=rgvm rank=0 task=32 nanotime=1325848666140293000: -wait2
 2584 evnt | host=rgvm rank=0 task=32 nanotime=1325848666140335000: +barrier
 2585 evnt | host=rgvm rank=1 task=23 nanotime=1325848666141600000: -wait1
 2586 evnt | host=rgvm rank=1 task=23 nanotime=1325848666141648000: +wait2
 2649 evnt | host=rgvm rank=0 task=30 nanotime=1325848666205287000: -wait2
 2649 evnt | host=rgvm rank=0 task=30 nanotime=1325848666205333000: +barrier
 2672 evnt | host=rgvm rank=1 task=22 nanotime=1325848666227788000: -wait2
 2672 evnt | host=rgvm rank=1 task=22 nanotime=1325848666227852000: +barrier
 2759 evnt | host=rgvm rank=0 task=31 nanotime=1325848666314958000: -wait2
 2759 evnt | host=rgvm rank=0 task=31 nanotime=1325848666314996000: +barrier
 3108 evnt | host=rgvm rank=1 task=24 nanotime=1325848666663884000: -wait1
 3108 evnt | host=rgvm rank=1 task=24 nanotime=1325848666663944000: +wait2
 3153 evnt | host=rgvm rank=1 task=23 nanotime=1325848666708745000: -wait2
 3153 evnt | host=rgvm rank=1 task=23 nanotime=1325848666708797000: +barrier
 3523 evnt | host=rgvm rank=1 task=24 nanotime=1325848667079047000: -wait2
 3523 evnt | host=rgvm rank=1 task=24 nanotime=1325848667079099000: +barrier
 3523 evnt | host=rgvm rank=0 task=31 nanotime=1325848667079337000: -barrier
 3523 evnt | host=rgvm rank=1 task=23 nanotime=1325848667079325000: -barrier
 3523 evnt | host=rgvm rank=0 task=32 nanotime=1325848667079352000: -barrier
 3523 evnt | host=rgvm rank=0 task=31 nanotime=1325848667079403000: +wait3
 3523 evnt | host=rgvm rank=0 task=30 nanotime=1325848667079379000: -barrier
 3523 evnt | host=rgvm rank=0 task=32 nanotime=1325848667079437000: +wait3
 3523 evnt | host=rgvm rank=1 task=23 nanotime=1325848667079520000: +wait3
 3523 evnt | host=rgvm rank=0 task=30 nanotime=1325848667079591000: +wait3
 3525 evnt | host=rgvm rank=1 task=24 nanotime=1325848667081078000: -barrier
 3525 evnt | host=rgvm rank=1 task=24 nanotime=1325848667081109000: +wait3
 3525 evnt | host=rgvm rank=1 task=22 nanotime=1325848667081134000: -barrier
 3525 evnt | host=rgvm rank=1 task=22 nanotime=1325848667081148000: +wait3
 3538 evnt | host=rgvm rank=1 task=23 nanotime=1325848667094293000: -wait3
 3538 evnt | host=rgvm rank=1 task=23 nanotime=1325848667094335000: -waittask
 3564 evnt | host=rgvm rank=0 task=30 nanotime=1325848667120283000: -wait3
 3564 evnt | host=rgvm rank=0 task=30 nanotime=1325848667120367000: -waittask
 3698 evnt | host=rgvm rank=0 task=31 nanotime=1325848667254320000: -wait3
 3698 evnt | host=rgvm rank=0 task=31 nanotime=1325848667254360000: -waittask
 3959 evnt | host=rgvm rank=1 task=24 nanotime=1325848667515331000: -wait3
 3959 evnt | host=rgvm rank=1 task=24 nanotime=1325848667515388000: -waittask
 4111 evnt | host=rgvm rank=1 task=22 nanotime=1325848667667318000: -wait3
 4111 evnt | host=rgvm rank=1 task=22 nanotime=1325848667667441000: -waittask
 4317 evnt | host=rgvm rank=0 task=32 nanotime=1325848667872820000: -wait3
 4317 evnt | host=rgvm rank=0 task=32 nanotime=1325848667872892000: -waittask
 4317 evnt | host=rgvm rank=0 task=main nanotime=1325848667872937000: -main
 4317 main | 
 4317 mpi2 | Stopping task managers...
 4318 mpi2 | Shutdown task manager at rank 0
 4318 mpi2 | Shutting down mpi2...
 4318 mpi2 | Shutdown task manager at rank 1
 4318 main | 
